DATE,TIME,WSPD,GST
28/10/2025,01:25,22.2,24.0
28/10/2025,01:45,20.1,23.0
28/10/2025,01:50,19.9,20.9
28/10/2025,02:05,19.2,20.3
28/10/2025,02:15,20.5,22.7
28/10/2025,04:15,23.6,26.2
28/10/2025,04:20,22.4,24.5
28/10/2025,04:35,20.8,23.0
28/10/2025,04:55,22.5,24.7
28/10/2025,05:20,21.9,24.3
28/10/2025,05:30,20.7,22.0
28/10/2025,05:40,22.1,25.6
28/10/2025,05:45,20.9,22.2
28/10/2025,05:50,20.3,22.3
28/10/2025,06:05,21.7,23.2
28/10/2025,06:15,24.0,26.8
28/10/2025,06:25,24.0,25.0
28/10/2025,06:45,20.7,25.8
28/10/2025,07:10,25.6,29.6
28/10/2025,07:20,22.8,24.7
28/10/2025,07:25,21.5,22.5
28/10/2025,07:35,25.2,29.2
28/10/2025,07:40,20.2,22.7
28/10/2025,07:45,20.9,22.4
28/10/2025,07:55,20.7,22.8
28/10/2025,08:05,22.8,25.0
28/10/2025,08:15,21.4,22.5
28/10/2025,08:25,20.9,23.0
28/10/2025,08:30,18.3,19.8
28/10/2025,08:40,14.8,17.2
28/10/2025,08:45,15.1,16.7
28/10/2025,09:05,15.0,16.6
28/10/2025,09:50,12.6,13.3
28/10/2025,09:55,12.9,14.6
28/10/2025,10:20,13.7,17.3
28/10/2025,10:35,13.0,16.9
28/10/2025,10:55,18.2,20.1
28/10/2025,11:00,13.6,15.4
28/10/2025,11:20,12.7,15.9
28/10/2025,11:55,13.1,14.4
28/10/2025,12:00,15.6,18.5
28/10/2025,12:05,12.9,16.4
28/10/2025,12:10,15.8,17.2
28/10/2025,12:15,13.5,15.0
28/10/2025,12:30,15.6,18.2
28/10/2025,12:35,19.5,21.9
28/10/2025,12:45,18.7,21.2
28/10/2025,12:50,16.1,17.6
28/10/2025,12:55,18.4,20.7
28/10/2025,13:05,17.6,19.9
28/10/2025,13:30,16.2,17.6
28/10/2025,13:35,19.9,22.2
28/10/2025,13:40,17.9,21.1
28/10/2025,14:15,15.2,16.0
28/10/2025,14:20,18.7,21.8
28/10/2025,14:25,18.5,20.0
28/10/2025,14:40,20.4,24.1
28/10/2025,14:50,18.9,21.1
28/10/2025,14:55,18.8,20.7
28/10/2025,15:00,18.7,20.6
28/10/2025,15:05,17.9,20.5
28/10/2025,15:10,16.6,18.0
28/10/2025,15:20,16.2,17.7
28/10/2025,15:30,17.5,20.0
28/10/2025,15:45,16.9,20.1
28/10/2025,15:50,18.5,20.5
28/10/2025,15:55,17.7,18.9
28/10/2025,16:00,17.1,19.0
28/10/2025,16:10,16.1,18.5
28/10/2025,16:15,14.4,16.6
28/10/2025,16:25,15.3,16.2
28/10/2025,16:35,13.5,15.7
28/10/2025,16:40,14.7,16.6
28/10/2025,16:50,12.9,14.0
28/10/2025,16:55,12.2,13.1
28/10/2025,17:00,12.7,14.0
28/10/2025,17:15,12.0,13.7
28/10/2025,17:20,15.3,16.5
28/10/2025,17:25,14.9,15.8
28/10/2025,17:50,14.1,15.7
28/10/2025,18:00,14.0,15.8
28/10/2025,18:05,14.4,17.6
28/10/2025,18:10,15.0,16.1
28/10/2025,18:50,10.2,10.5
28/10/2025,18:55,10.2,11.2
28/10/2025,19:35,12.8,14.6
28/10/2025,19:55,14.5,15.8
28/10/2025,20:05,14.7,17.3
28/10/2025,21:05,18.9,20.7
28/10/2025,21:45,20.9,24.0
28/10/2025,21:50,17.7,19.2
28/10/2025,21:55,17.0,19.1
28/10/2025,22:05,15.2,16.4
28/10/2025,22:15,14.3,15.4
28/10/2025,22:30,15.1,16.7
28/10/2025,22:35,16.9,18.4
28/10/2025,22:40,15.9,16.7
28/10/2025,23:15,16.4,18.2
28/10/2025,23:20,14.2,16.5
28/10/2025,23:25,15.6,16.7
28/10/2025,23:45,15.6,16.7
