DATE,TIME,WSPD,GST
27/10/2025,00:15,17.1,0.0
27/10/2025,00:25,17.9,19.8
27/10/2025,00:35,17.6,20.2
27/10/2025,00:45,15.6,17.4
27/10/2025,01:05,20.1,22.7
27/10/2025,01:55,15.1,17.1
27/10/2025,02:05,17.3,19.5
27/10/2025,02:15,19.5,21.9
27/10/2025,02:25,18.0,19.9
27/10/2025,02:35,16.4,18.0
27/10/2025,02:45,14.0,15.0
27/10/2025,03:05,18.4,21.0
27/10/2025,03:15,18.7,24.3
27/10/2025,03:25,20.2,20.9
27/10/2025,03:35,18.1,21.0
27/10/2025,03:45,17.0,19.6
27/10/2025,03:50,17.8,18.3
27/10/2025,03:55,17.4,19.3
27/10/2025,04:00,14.6,16.9
27/10/2025,04:10,14.4,17.0
27/10/2025,04:20,17.1,18.5
27/10/2025,04:35,15.5,18.0
27/10/2025,04:45,13.9,15.6
27/10/2025,04:55,14.5,17.6
27/10/2025,05:10,16.9,18.1
27/10/2025,05:20,14.5,15.5
27/10/2025,05:25,15.9,19.2
27/10/2025,05:30,15.4,17.5
27/10/2025,05:40,14.9,15.8
27/10/2025,05:45,17.0,19.9
27/10/2025,05:50,16.3,19.3
27/10/2025,06:25,17.0,18.4
27/10/2025,06:45,17.2,18.3
27/10/2025,06:55,14.2,16.8
27/10/2025,07:05,17.6,20.2
27/10/2025,07:15,17.3,18.8
27/10/2025,07:55,16.4,18.6
27/10/2025,08:45,15.6,18.2
27/10/2025,08:55,19.2,21.5
27/10/2025,09:05,13.4,19.6
27/10/2025,09:35,16.1,18.6
27/10/2025,09:55,17.3,21.9
27/10/2025,10:05,16.4,18.6
27/10/2025,10:15,18.9,20.6
27/10/2025,11:05,18.5,21.0
27/10/2025,11:15,22.3,23.2
27/10/2025,11:35,24.2,29.1
27/10/2025,12:15,20.9,23.4
27/10/2025,12:45,20.4,22.1
27/10/2025,12:50,16.8,19.8
27/10/2025,12:55,15.6,18.2
27/10/2025,13:30,19.0,19.9
27/10/2025,13:35,21.8,25.9
27/10/2025,13:40,19.4,21.4
27/10/2025,13:45,17.1,19.1
27/10/2025,13:55,17.7,19.8
27/10/2025,14:05,15.7,17.5
27/10/2025,14:15,15.1,17.8
27/10/2025,14:20,13.5,14.8
27/10/2025,14:25,14.7,17.8
27/10/2025,14:45,17.2,21.2
27/10/2025,15:00,16.4,18.0
27/10/2025,15:10,15.0,18.1
27/10/2025,15:45,13.2,16.5
27/10/2025,15:55,15.5,18.9
27/10/2025,16:30,8.8,9.9
27/10/2025,16:35,8.8,9.7
27/10/2025,16:45,6.5,7.8
27/10/2025,16:55,7.8,8.2
27/10/2025,17:15,11.7,12.4
27/10/2025,17:20,12.0,13.0
27/10/2025,17:35,11.8,13.3
27/10/2025,17:45,10.6,11.4
27/10/2025,18:00,11.5,12.1
27/10/2025,18:05,10.5,11.7
27/10/2025,18:45,8.0,8.5
27/10/2025,18:50,8.1,8.9
27/10/2025,18:55,7.3,7.9
27/10/2025,19:15,9.3,10.1
27/10/2025,19:25,12.7,14.5
27/10/2025,19:30,11.1,13.1
27/10/2025,19:35,11.2,12.3
27/10/2025,19:40,10.0,10.5
27/10/2025,19:45,9.9,11.0
27/10/2025,19:55,11.7,12.3
27/10/2025,20:05,12.1,12.9
27/10/2025,20:15,13.3,14.3
27/10/2025,20:20,15.7,16.6
27/10/2025,20:25,16.6,18.5
27/10/2025,21:00,17.3,18.2
27/10/2025,21:05,16.2,17.4
27/10/2025,21:15,15.6,16.8
27/10/2025,21:45,16.2,17.6
27/10/2025,21:50,17.0,18.3
27/10/2025,22:15,18.2,20.2
27/10/2025,22:25,17.5,19.4
27/10/2025,22:30,17.2,19.0
27/10/2025,22:35,18.7,20.2
27/10/2025,22:40,18.7,20.4
27/10/2025,22:45,16.2,17.4
27/10/2025,23:15,20.1,21.8
27/10/2025,23:20,18.8,20.0
27/10/2025,23:35,20.8,24.0
27/10/2025,23:55,17.8,20.0
