DATE,TIME,WSPD,WD,GST,ATMP,STMP,DEPTH,BARO,VIS,SURGE,
28/10/2025,01:25,22.2,333,24.0,13.2,0.0,0.00,1009.2,0,0.0,
28/10/2025,01:45,20.1,339,23.0,13.2,0.0,0.00,1009.2,0,0.0,
28/10/2025,01:50,19.9,338,20.9,13.0,0.0,0.00,1009.2,0,0.0,
28/10/2025,02:05,19.2,336,20.3,13.2,0.0,0.00,1009.0,0,0.0,
28/10/2025,02:15,20.5,340,22.7,13.0,0.0,0.00,1009.0,0,0.0,
28/10/2025,04:15,23.6,341,26.2,13.3,0.0,0.00,1008.3,0,0.0,
28/10/2025,04:20,22.4,340,24.5,13.4,0.0,0.00,1008.3,0,0.0,
28/10/2025,04:35,20.8,340,23.0,13.4,0.0,0.00,1008.4,0,0.0,
28/10/2025,04:55,22.5,333,24.7,13.3,0.0,0.00,1008.0,0,0.0,
28/10/2025,05:20,21.9,339,24.3,13.3,0.0,0.00,1008.3,0,0.0,
28/10/2025,05:30,20.7,342,22.0,13.6,0.0,0.00,1008.2,0,0.0,
28/10/2025,05:40,22.1,339,25.6,13.5,0.0,0.00,1008.1,0,0.0,
28/10/2025,05:45,20.9,337,22.2,13.4,0.0,0.00,1008.1,0,0.0,
28/10/2025,05:50,20.3,332,22.3,13.5,0.0,0.00,1007.9,0,0.0,
28/10/2025,06:05,21.7,336,23.2,13.6,0.0,0.00,1007.9,0,0.0,
28/10/2025,06:15,24.0,333,26.8,13.6,0.0,0.00,1007.8,0,0.0,
28/10/2025,06:25,24.0,335,25.0,13.5,0.0,0.00,1007.6,0,0.0,
28/10/2025,06:45,20.7,340,25.8,13.3,0.0,0.00,1007.8,0,0.0,
28/10/2025,07:10,25.6,336,29.6,13.4,0.0,0.00,1007.6,0,0.0,
28/10/2025,07:20,22.8,340,24.7,13.1,0.0,0.00,1008.1,0,0.0,
28/10/2025,07:25,21.5,343,22.5,13.0,0.0,0.00,1008.1,0,0.0,
28/10/2025,07:35,25.2,340,29.2,12.8,0.0,0.00,1008.4,0,0.0,
28/10/2025,07:40,20.2,348,22.7,12.7,0.0,0.00,1008.4,0,0.0,
28/10/2025,07:45,20.9,344,22.4,12.8,0.0,0.00,1008.5,0,0.0,
28/10/2025,07:55,20.7,346,22.8,12.9,0.0,0.00,1008.4,0,0.0,
28/10/2025,08:05,22.8,338,25.0,12.9,0.0,0.00,1008.3,0,0.0,
28/10/2025,08:15,21.4,337,22.5,13.0,0.0,0.00,1008.5,0,0.0,
28/10/2025,08:25,20.9,335,23.0,12.9,0.0,0.00,1008.5,0,0.0,
28/10/2025,08:30,18.3,342,19.8,12.9,0.0,0.00,1008.8,0,0.0,
28/10/2025,08:40,14.8,349,17.2,12.7,0.0,0.00,1008.8,0,0.0,
28/10/2025,08:45,15.1,352,16.7,12.7,0.0,0.00,1008.9,0,0.0,
28/10/2025,09:05,15.0,354,16.6,13.1,0.0,0.00,1008.6,0,0.0,
28/10/2025,09:50,12.6,005,13.3,13.6,0.0,0.00,1009.3,0,0.0,
28/10/2025,09:55,12.9,006,14.6,13.4,0.0,0.00,1009.1,0,0.0,
28/10/2025,10:20,13.7,357,17.3,13.4,0.0,0.00,1009.2,0,0.0,
28/10/2025,10:35,13.0,000,16.9,13.2,0.0,0.00,1009.3,0,0.0,
28/10/2025,10:55,18.2,359,20.1,13.4,0.0,0.00,1009.3,0,0.0,
28/10/2025,11:00,13.6,352,15.4,13.5,0.0,0.00,1009.6,0,0.0,
28/10/2025,11:20,12.7,351,15.9,13.7,0.0,0.00,1009.3,0,0.0,
28/10/2025,11:55,13.1,337,14.4,13.6,0.0,0.00,1009.0,0,0.0,
28/10/2025,12:00,15.6,359,18.5,13.6,0.0,0.00,1008.8,0,0.0,
28/10/2025,12:05,12.9,346,16.4,13.8,0.0,0.00,1009.0,0,0.0,
28/10/2025,12:10,15.8,350,17.2,13.8,0.0,0.00,1008.9,0,0.0,
