DATE,TIME,WSPD,GST
13/11/2025,00:55,18.4,20.6
13/11/2025,03:50,14.0,14.9
13/11/2025,04:00,13.8,16.4
13/11/2025,04:55,14.2,17.4
13/11/2025,05:20,9.1,10.1
13/11/2025,05:30,10.8,12.8
13/11/2025,05:40,11.7,13.5
13/11/2025,05:50,11.7,13.3
13/11/2025,06:10,14.1,15.7
13/11/2025,06:15,12.2,13.5
13/11/2025,07:30,9.3,9.9
13/11/2025,08:55,10.7,12.6
13/11/2025,10:40,11.0,11.9
13/11/2025,12:00,4.6,5.2
13/11/2025,12:10,7.0,7.3
13/11/2025,12:45,5.5,5.9
13/11/2025,12:55,6.6,6.9
13/11/2025,13:15,4.9,5.4
13/11/2025,13:30,4.1,4.4
13/11/2025,13:35,4.9,5.3
13/11/2025,13:40,5.0,5.1
13/11/2025,14:15,3.8,3.8
13/11/2025,14:20,2.5,2.8
13/11/2025,14:25,2.2,2.6
13/11/2025,14:35,2.0,2.1
13/11/2025,15:00,3.8,3.8
13/11/2025,15:05,4.1,4.2
13/11/2025,15:50,10.0,10.4
13/11/2025,15:55,10.7,11.3
13/11/2025,16:30,9.7,10.1
13/11/2025,16:35,8.5,9.2
13/11/2025,16:40,9.9,10.6
13/11/2025,17:15,8.4,8.9
13/11/2025,17:20,8.9,9.4
13/11/2025,17:25,9.1,10.0
13/11/2025,18:00,9.5,9.9
13/11/2025,18:05,9.9,10.3
13/11/2025,18:10,10.1,11.3
13/11/2025,18:45,10.5,10.9
13/11/2025,18:55,12.2,12.8
13/11/2025,19:30,13.1,13.9
13/11/2025,19:35,12.0,13.0
13/11/2025,19:40,13.0,13.8
13/11/2025,20:15,12.3,13.3
13/11/2025,20:20,13.1,14.4
13/11/2025,20:25,13.3,15.0
13/11/2025,21:00,11.4,12.5
13/11/2025,21:05,11.4,12.7
13/11/2025,21:10,11.9,12.8
13/11/2025,21:45,14.3,15.7
13/11/2025,21:50,11.9,12.9
13/11/2025,21:55,11.3,13.3
13/11/2025,22:30,12.1,13.4
13/11/2025,22:35,12.2,13.5
13/11/2025,22:40,11.0,11.4
13/11/2025,23:15,10.7,11.2
13/11/2025,23:20,11.2,12.5
13/11/2025,23:25,10.9,11.4
