DATE,TIME,WSPD,ATMP
27/12/2025,00:00,0.0,4.8
27/12/2025,00:05,10.2,4.7
27/12/2025,00:10,0.0,5.0
27/12/2025,00:15,9.2,4.7
27/12/2025,00:20,9.3,4.7
27/12/2025,00:25,0.0,4.7
27/12/2025,00:30,7.1,4.7
27/12/2025,00:35,0.0,4.5
27/12/2025,00:40,0.0,4.5
27/12/2025,00:50,0.0,4.5
27/12/2025,00:55,4.7,4.5
27/12/2025,01:05,8.9,4.5
27/12/2025,01:15,0.0,4.4
27/12/2025,01:20,0.0,4.5
27/12/2025,01:25,6.1,4.4
27/12/2025,01:35,5.7,4.6
27/12/2025,01:45,0.0,4.5
27/12/2025,01:55,0.0,4.8
27/12/2025,02:00,0.0,4.8
27/12/2025,02:15,0.0,4.8
27/12/2025,02:25,0.0,4.6
27/12/2025,02:35,0.0,4.6
27/12/2025,02:45,0.0,4.6
27/12/2025,02:50,0.0,4.6
27/12/2025,02:55,0.0,4.6
27/12/2025,03:00,0.0,4.6
27/12/2025,03:05,0.0,4.7
27/12/2025,03:10,0.0,4.7
27/12/2025,03:15,0.0,4.6
27/12/2025,03:30,0.0,4.5
27/12/2025,03:35,0.0,4.5
27/12/2025,03:40,0.0,4.7
27/12/2025,03:50,0.0,4.6
27/12/2025,03:55,0.0,4.6
27/12/2025,04:00,0.0,4.6
27/12/2025,04:10,0.0,4.6
27/12/2025,04:30,0.0,4.7
27/12/2025,04:40,0.0,4.8
27/12/2025,04:45,0.0,4.8
27/12/2025,04:55,0.0,4.7
27/12/2025,05:00,0.0,4.7
27/12/2025,05:10,0.0,4.5
27/12/2025,05:20,0.0,4.5
27/12/2025,05:25,0.0,4.5
27/12/2025,05:30,0.0,4.5
27/12/2025,05:40,0.0,4.5
27/12/2025,05:45,0.0,4.5
27/12/2025,05:50,0.0,4.5
27/12/2025,06:00,0.0,4.5
27/12/2025,06:05,0.0,4.2
27/12/2025,06:15,0.0,4.2
27/12/2025,06:20,0.0,4.2
27/12/2025,06:25,4.8,4.3
27/12/2025,06:30,0.0,4.4
27/12/2025,06:35,0.0,4.3
27/12/2025,06:40,10.3,4.3
27/12/2025,06:45,0.0,4.4
27/12/2025,06:50,10.9,4.4
27/12/2025,06:55,0.0,4.5
27/12/2025,07:00,10.4,4.4
27/12/2025,07:05,0.0,4.4
27/12/2025,07:15,10.3,4.4
27/12/2025,07:20,9.5,4.5
27/12/2025,07:25,9.8,4.3
27/12/2025,07:30,10.4,4.3
27/12/2025,07:35,8.7,4.2
27/12/2025,07:40,8.2,4.2
27/12/2025,07:45,7.6,4.3
27/12/2025,07:50,8.5,4.2
27/12/2025,07:55,8.6,4.1
27/12/2025,08:00,8.1,4.3
27/12/2025,08:05,7.3,4.2
27/12/2025,08:10,9.8,4.4
27/12/2025,08:15,9.9,4.4
27/12/2025,08:20,10.7,4.4
27/12/2025,08:25,9.3,4.3
27/12/2025,08:30,11.3,4.4
27/12/2025,08:35,11.9,4.4
27/12/2025,08:40,11.4,4.5
27/12/2025,08:45,12.8,4.4
27/12/2025,08:50,14.2,4.6
27/12/2025,08:55,13.2,4.6
27/12/2025,09:00,12.6,4.5
27/12/2025,09:05,12.6,4.6
27/12/2025,09:10,13.4,4.8
27/12/2025,09:15,14.7,4.8
27/12/2025,09:25,15.0,5.1
27/12/2025,09:30,18.0,5.2
27/12/2025,09:35,0.0,5.2
27/12/2025,09:40,0.0,5.2
27/12/2025,09:45,0.0,5.1
27/12/2025,09:50,18.2,5.2
27/12/2025,09:55,15.2,5.3
27/12/2025,10:00,16.6,5.4
27/12/2025,10:05,15.3,5.6
27/12/2025,10:10,0.0,5.4
27/12/2025,10:15,0.0,5.5
27/12/2025,10:20,12.2,5.7
27/12/2025,10:30,14.1,5.9
27/12/2025,10:35,7.5,5.9
27/12/2025,10:40,11.8,5.9
27/12/2025,10:45,15.0,5.8
27/12/2025,10:50,0.0,5.9
27/12/2025,10:55,12.3,6.0
27/12/2025,11:00,13.1,6.0
27/12/2025,11:05,13.0,6.0
27/12/2025,11:10,13.9,6.1
27/12/2025,11:15,13.2,6.1
27/12/2025,11:20,12.9,6.4
27/12/2025,11:25,12.8,6.5
27/12/2025,11:30,13.7,6.5
27/12/2025,11:35,13.7,6.7
27/12/2025,11:40,12.0,7.0
27/12/2025,11:45,16.7,7.1
27/12/2025,11:50,15.3,7.0
27/12/2025,11:55,15.7,7.2
27/12/2025,12:00,14.5,7.3
27/12/2025,12:05,13.2,7.3
27/12/2025,12:10,14.2,7.5
27/12/2025,12:15,0.0,7.6
27/12/2025,12:20,16.6,8.0
27/12/2025,12:25,18.6,8.1
27/12/2025,12:30,21.8,8.1
27/12/2025,12:35,0.0,8.1
27/12/2025,12:40,20.4,8.2
27/12/2025,12:45,20.9,8.2
27/12/2025,12:50,18.5,8.2
27/12/2025,12:55,21.3,8.3
27/12/2025,13:00,0.0,8.2
27/12/2025,13:10,0.0,8.1
27/12/2025,13:15,21.8,8.1
27/12/2025,13:25,0.0,8.3
27/12/2025,13:30,0.0,8.1
27/12/2025,13:35,19.8,8.1
27/12/2025,13:40,0.0,8.2
27/12/2025,13:45,0.0,8.1
27/12/2025,13:50,0.0,8.2
27/12/2025,13:55,0.0,8.4
27/12/2025,14:00,16.5,8.3
27/12/2025,14:10,16.9,8.3
27/12/2025,14:15,18.2,8.3
27/12/2025,14:20,18.7,8.2
27/12/2025,14:25,0.0,8.3
27/12/2025,14:30,0.0,8.1
27/12/2025,14:35,0.0,8.1
27/12/2025,14:40,21.1,8.1
27/12/2025,14:45,0.0,8.0
27/12/2025,14:50,19.1,8.1
27/12/2025,14:55,0.0,8.1
27/12/2025,15:00,0.0,8.0
27/12/2025,15:05,17.9,8.0
27/12/2025,15:15,16.1,7.9
27/12/2025,15:20,8.6,7.9
27/12/2025,15:25,0.0,7.9
27/12/2025,15:30,18.5,8.0
27/12/2025,15:35,0.0,7.9
27/12/2025,15:40,0.0,7.9
27/12/2025,15:45,7.5,8.0
27/12/2025,15:50,17.5,7.9
27/12/2025,15:55,18.9,8.0
27/12/2025,16:00,16.4,7.9
27/12/2025,16:05,0.0,7.9
27/12/2025,16:15,0.0,7.9
27/12/2025,16:20,0.0,8.0
27/12/2025,16:30,15.3,7.9
27/12/2025,16:35,0.0,7.9
27/12/2025,16:40,18.9,7.8
27/12/2025,16:45,13.5,7.8
27/12/2025,16:55,0.0,7.8
27/12/2025,17:00,24.7,7.8
27/12/2025,17:05,0.0,7.9
27/12/2025,17:10,14.8,7.8
27/12/2025,17:15,16.0,7.7
27/12/2025,17:20,0.0,7.7
27/12/2025,17:25,0.0,7.8
27/12/2025,17:30,0.0,7.7
27/12/2025,17:35,0.0,7.8
27/12/2025,17:40,17.3,7.7
27/12/2025,17:45,0.0,7.8
27/12/2025,18:00,9.3,7.6
27/12/2025,18:05,17.9,7.7
27/12/2025,18:10,0.0,7.7
27/12/2025,18:20,0.0,7.7
27/12/2025,18:25,16.0,7.6
27/12/2025,18:30,0.0,7.6
27/12/2025,18:35,0.0,7.7
27/12/2025,18:40,19.1,7.6
27/12/2025,18:45,0.0,7.6
27/12/2025,18:55,0.0,7.7
27/12/2025,19:00,17.4,7.7
27/12/2025,19:05,5.3,7.7
27/12/2025,19:15,22.0,7.8
27/12/2025,19:20,0.0,7.9
27/12/2025,19:25,0.0,7.9
27/12/2025,19:30,0.0,7.9
27/12/2025,19:35,16.6,7.9
27/12/2025,19:40,8.9,7.9
27/12/2025,19:45,0.0,7.8
27/12/2025,19:50,0.0,7.8
27/12/2025,19:55,0.0,7.9
27/12/2025,20:00,17.6,7.9
27/12/2025,20:10,13.9,7.9
27/12/2025,20:15,0.0,7.8
27/12/2025,20:20,7.3,7.8
27/12/2025,20:25,0.0,7.9
27/12/2025,20:30,0.0,7.8
27/12/2025,20:35,0.0,7.8
27/12/2025,20:40,0.0,7.8
27/12/2025,20:45,7.0,7.9
27/12/2025,20:50,15.6,7.8
27/12/2025,20:55,0.0,7.9
27/12/2025,21:00,14.1,8.0
27/12/2025,21:05,16.8,7.9
27/12/2025,21:10,15.3,8.0
27/12/2025,21:15,15.1,8.0
27/12/2025,21:20,13.0,8.0
27/12/2025,21:25,12.5,8.1
27/12/2025,21:30,13.6,8.0
27/12/2025,21:35,13.0,8.0
27/12/2025,21:45,10.2,8.0
27/12/2025,21:55,0.0,8.0
27/12/2025,22:05,12.0,8.0
27/12/2025,22:10,10.3,8.0
27/12/2025,22:15,6.2,8.1
27/12/2025,22:20,11.8,8.1
27/12/2025,22:25,11.4,8.0
27/12/2025,22:30,0.0,8.0
27/12/2025,22:35,11.2,8.0
27/12/2025,22:40,5.3,8.0
27/12/2025,22:45,0.0,8.0
27/12/2025,22:50,0.0,8.1
27/12/2025,22:55,10.3,8.0
27/12/2025,23:00,12.9,8.1
27/12/2025,23:05,12.1,8.0
27/12/2025,23:10,0.0,8.1
27/12/2025,23:15,12.0,8.1
27/12/2025,23:20,11.3,8.1
27/12/2025,23:25,0.0,8.0
27/12/2025,23:30,11.3,8.0
27/12/2025,23:40,0.0,8.0
27/12/2025,23:45,0.0,8.0
27/12/2025,23:50,0.0,7.9
27/12/2025,23:55,0.0,8.0
