DATE,TIME,WSPD,WD,GST,ATMP,STMP,DEPTH,BARO,VIS,SURGE,
23/10/2025,00:05,17.8,92,19.7,11.0,0.0,0.00,980.1,0,0.0,
23/10/2025,00:15,16.1,93,18.1,11.0,0.0,0.00,980.0,0,0.0,
23/10/2025,00:25,16.3,92,18.2,11.1,0.0,0.00,979.7,0,0.0,
23/10/2025,00:35,17.3,90,18.4,11.1,0.0,0.00,979.5,0,0.0,
23/10/2025,00:45,14.6,82,16.0,10.9,0.0,0.00,979.3,0,0.0,
23/10/2025,00:55,13.4,85,15.7,10.9,0.0,0.00,979.1,0,0.0,
23/10/2025,01:05,16.0,80,17.4,10.9,0.0,0.00,978.8,0,0.0,
23/10/2025,01:25,15.2,82,16.7,10.7,0.0,0.00,978.6,0,0.0,
23/10/2025,01:35,15.0,80,18.4,10.9,0.0,0.00,978.4,0,0.0,
23/10/2025,01:45,16.2,87,18.2,10.6,0.0,0.00,978.2,0,0.0,
23/10/2025,01:55,13.8,85,15.4,10.7,0.0,0.00,978.1,0,0.0,
23/10/2025,02:25,15.6,80,17.5,10.8,0.0,0.00,977.6,0,0.0,
23/10/2025,02:35,16.3,83,19.0,10.6,0.0,0.00,977.2,0,0.0,
23/10/2025,02:45,17.5,81,18.8,10.5,0.0,0.00,977.0,0,0.0,
23/10/2025,02:55,16.4,77,17.6,10.3,0.0,0.00,976.8,0,0.0,
23/10/2025,03:05,16.1,73,18.0,10.3,0.0,0.00,976.8,0,0.0,
23/10/2025,03:15,18.1,80,21.7,10.1,0.0,0.00,976.5,0,0.0,
23/10/2025,03:25,18.9,76,19.8,10.1,0.0,0.00,976.4,0,0.0,
23/10/2025,03:35,19.0,70,20.7,10.1,0.0,0.00,976.3,0,0.0,
23/10/2025,03:50,15.6,64,17.2,10.3,0.0,0.00,976.3,0,0.0,
23/10/2025,03:55,18.7,70,20.1,9.9,0.0,0.00,976.2,0,0.0,
23/10/2025,04:00,19.6,61,23.3,10.3,0.0,0.00,976.0,0,0.0,
23/10/2025,04:05,21.9,60,23.9,10.3,0.0,0.00,976.1,0,0.0,
23/10/2025,04:10,20.8,58,22.9,10.1,0.0,0.00,976.4,0,0.0,
23/10/2025,04:20,24.6,59,25.5,10.1,0.0,0.00,976.4,0,0.0,
23/10/2025,04:35,25.6,62,27.5,10.0,0.0,0.00,976.6,0,0.0,
23/10/2025,04:45,24.0,56,26.7,10.0,0.0,0.00,976.9,0,0.0,
23/10/2025,04:55,27.4,53,31.6,9.7,0.0,0.00,976.6,0,0.0,
23/10/2025,05:10,26.6,55,29.5,9.8,0.0,0.00,976.9,0,0.0,
23/10/2025,05:20,26.3,52,28.4,10.0,0.0,0.00,977.1,0,0.0,
23/10/2025,05:25,28.8,51,30.5,10.1,0.0,0.00,977.1,0,0.0,
23/10/2025,05:30,26.2,53,29.3,10.3,0.0,0.00,977.6,0,0.0,
23/10/2025,05:40,24.6,45,25.7,9.9,0.0,0.00,977.5,0,0.0,
23/10/2025,05:50,22.6,36,26.2,9.8,0.0,0.00,977.9,0,0.0,
23/10/2025,06:00,19.5,38,21.3,9.9,0.0,0.00,978.3,0,0.0,
23/10/2025,06:05,23.1,39,24.5,9.8,0.0,0.00,978.4,0,0.0,
23/10/2025,06:15,21.1,40,23.0,10.1,0.0,0.00,978.5,0,0.0,
23/10/2025,06:45,22.1,36,24.7,10.0,0.0,0.00,979.2,0,0.0,
23/10/2025,07:05,25.5,40,28.8,9.7,0.0,0.00,979.9,0,0.0,
23/10/2025,07:15,24.1,35,26.3,9.8,0.0,0.00,980.2,0,0.0,
23/10/2025,07:35,21.2,35,25.2,9.7,0.0,0.00,981.1,0,0.0,
23/10/2025,07:45,23.8,34,25.5,9.5,0.0,0.00,981.2,0,0.0,
23/10/2025,07:55,21.6,37,23.9,9.7,0.0,0.00,981.7,0,0.0,
