TIME WSPD GST
00:05 17.8 19.7
00:15 16.1 18.1
00:25 16.3 18.2
00:35 17.3 18.4
00:45 14.6 16.0
00:55 13.4 15.7
01:05 16.0 17.4
01:25 15.2 16.7
01:35 15.0 18.4
01:45 16.2 18.2
01:55 13.8 15.4
02:25 15.6 17.5
02:35 16.3 19.0
02:45 17.5 18.8
02:55 16.4 17.6
03:05 16.1 18.0
03:15 18.1 21.7
03:25 18.9 19.8
03:35 19.0 20.7
03:50 15.6 17.2
03:55 18.7 20.1
04:00 19.6 23.3
04:05 21.9 23.9
04:10 20.8 22.9
04:20 24.6 25.5
04:35 25.6 27.5
04:45 24.0 26.7
04:55 27.4 31.6
05:10 26.6 29.5
05:20 26.3 28.4
05:25 28.8 30.5
05:30 26.2 29.3
05:40 24.6 25.7
05:50 22.6 26.2
06:00 19.5 21.3
06:05 23.1 24.5
06:15 21.1 23.0
06:45 22.1 24.7
07:05 25.5 28.8
07:15 24.1 26.3
07:35 21.2 25.2
07:45 23.8 25.5
07:55 21.6 23.9
08:35 23.8 27.7
08:45 24.3 27.8
08:55 23.9 27.2
09:05 26.2 28.1
09:15 24.1 29.3
09:50 24.4 25.9
09:55 27.0 29.1
10:05 25.6 30.0
10:15 22.8 24.9
10:45 22.1 28.8
11:05 24.2 27.9
11:15 23.2 27.8
11:25 18.6 22.4
11:35 21.6 24.0
11:45 18.9 20.7
11:55 19.2 22.6
12:15 16.2 20.1
12:25 19.5 21.8
12:45 18.1 21.1
12:50 19.7 24.3
13:10 19.5 23.2
13:15 17.5 21.0
13:25 19.3 21.5
13:30 18.8 21.4
13:35 16.1 17.6
13:40 20.0 24.8
13:45 18.6 21.1
14:15 21.2 26.0
14:20 20.2 23.9
14:35 20.6 24.8
14:45 18.5 22.5
15:00 19.3 20.4
15:05 22.2 24.2
15:35 17.8 19.7
15:40 16.7 18.7
15:45 19.4 22.4
15:50 18.3 19.9
16:05 19.1 22.6
16:15 22.3 23.6
16:35 20.3 26.0
16:40 26.8 29.8
16:45 21.2 25.6
16:55 21.4 25.7
17:05 30.2 35.1
17:15 28.7 29.5
17:20 22.5 25.1
17:25 24.0 26.9
17:35 24.4 30.4
17:45 30.4 32.4
17:55 27.7 31.2
18:00 27.0 30.5
18:10 24.6 28.4
18:15 23.3 26.2
18:25 22.5 25.2
18:45 18.5 22.1
18:50 17.7 19.8
18:55 14.1 15.5
19:05 18.9 22.8
19:15 20.9 23.5
19:25 19.5 21.5
19:30 16.7 18.3
19:35 14.7 15.2
19:45 17.9 19.1
19:55 14.9 16.2
20:05 15.6 17.6
20:15 16.0 17.6
20:25 17.8 20.5
20:35 19.4 21.2
20:45 17.6 19.2
20:55 18.4 20.3
21:00 16.9 17.9
21:05 17.5 18.5
21:10 16.2 17.5
21:15 18.2 19.7
21:25 19.5 21.2
21:35 19.7 21.1
21:45 19.3 23.1
21:55 19.5 22.8
22:05 16.8 18.8
22:30 17.2 17.8
22:35 16.8 17.7
22:40 16.3 17.7
23:05 16.7 19.9
23:15 16.6 18.8
23:20 15.9 16.7
23:25 15.8 16.5
23:45 19.6 20.5
